Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work, axi4_interconnect0_ipgen_read_data_downsizer_Z107_layer0,0h:00m:02s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   789 MB,     1 MB,     1 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_read_downsizer_Z106_layer0,0h:00m:03s,0h:00m:03s,-,0h:00m:00s,   789 MB,     1 MB,     1 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_axi_fifo_Z101_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   789 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_write_resp_downsizer_Z100_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   789 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_axi_fifo_Z94_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   838 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_write_downsizer_Z93_layer0,0h:00m:03s,0h:00m:03s,0h:00m:00s,0h:00m:00s,   838 MB,     2 MB,     2 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_ext_slv_port_Z90_layer0,0h:00m:08s,0h:00m:07s,0h:00m:00s,0h:00m:00s,   838 MB,     4 MB,     4 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_axi_fifo_Z73_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   838 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_axi_fifo_Z68_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   838 MB,     1 MB,     1 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_fifo_interface_Z67_layer0,0h:00m:04s,0h:00m:04s,0h:00m:00s,0h:00m:00s,   838 MB,     2 MB,     2 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_axi_fifo_Z53_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   838 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_fifo_interface_Z42_layer0,0h:00m:05s,0h:00m:05s,0h:00m:00s,0h:00m:00s,   838 MB,     3 MB,     3 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_ext_mas_port_Z33_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   838 MB,     1 MB,     1 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_axi_fifo_Z24_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   838 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_fifo_interface_Z13_layer0,0h:00m:04s,0h:00m:04s,0h:00m:00s,0h:00m:00s,   838 MB,     1 MB,     1 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_lscc_sync_axi_interconnect_Z12_layer0,0h:00m:26s,0h:00m:26s,-,0h:00m:00s,   838 MB,    14 MB,    14 MB,     0 MB,     0 MB
work, axi4_interconnect0_ipgen_axi_cross_bar_Z11_layer0,0h:00m:04s,0h:00m:04s,-,0h:00m:00s,   838 MB,     9 MB,     9 MB,     0 MB,     0 MB
work, apb_interconnect0_ipgen_lscc_apb_decoder_Z2_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   838 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, apb_interconnect0_ipgen_lscc_apb_interconnect_Z1_layer0,0h:00m:02s,0h:00m:02s,-,0h:00m:00s,   838 MB,     1 MB,     1 MB,     0 MB,     0 MB
